trial_number,notes_vector
104,"[65, 67, 69, 65]"
105,"[67, 65, 67, 69]"
106,"[67, 67, 67, 69]"
107,"[67, 65, 65, 65]"
108,"[71, 69, 67, 67]"
109,"[69, 71, 69, 67, 69]"
110,"[69, 71, 69, 72, 71]"
111,"[71, 69, 67, 67, 67]"
112,"[69, 71, 69, 67, 67]"
113,"[67, 71, 69, 71, 67]"
114,"[71, 69, 72, 72]"
115,"[72, 71, 69, 69, 71]"
116,"[67, 65, 69, 67, 69]"
117,"[71, 69, 69, 71]"
118,"[69, 65, 65, 65]"
119,"[71, 65, 65, 67, 69]"
120,"[71, 69, 71, 65]"
121,"[67, 65, 71, 65]"
122,"[69, 71, 72, 67, 65]"
123,"[65, 65, 67, 65]"
124,"[65, 67, 65, 67]"
125,"[65, 65, 71, 67]"
126,"[65, 67, 71, 71]"
127,"[65, 65, 65, 71]"
128,"[71, 69, 65, 69]"
129,"[71, 72, 72, 72]"
130,"[72, 72, 71, 72]"
131,"[71, 71, 71, 71]"
132,"[71, 69, 72, 67, 71]"
133,"[72, 71, 71, 72]"
134,"[72, 71, 71, 72]"
135,"[69, 69, 67, 69]"
136,"[72, 71, 72, 72]"
137,"[72, 71, 69, 71, 67]"
138,"[71, 69, 71, 71]"
139,"[69, 71, 69, 67]"
140,"[72, 71, 69, 72]"
141,"[72, 72, 69, 71]"
142,"[71, 69, 67, 71]"
143,"[69, 69, 71, 69]"
144,"[71, 71, 69, 67]"
145,"[69, 69, 71, 67]"
146,"[69, 69, 71, 69]"
147,"[71, 69, 71, 72]"
148,"[71, 69, 67, 67]"
149,"[65, 67, 69, 71, 72, 72, 71, 69, 71, 71, 71, 72, 69, 67, 65, 72, 69, 69, 71]"
150,"[71, 72, 67, 67]"
151,"[69, 71, 67, 69]"
152,"[69, 69, 67, 69]"
153,"[69, 67, 67, 69]"
154,"[69, 67, 67, 67]"
155,"[69, 69, 69, 67]"
156,"[69, 67, 69, 69]"
157,"[67, 65, 67, 65]"
158,"[67, 67, 65, 67]"
159,"[67, 65, 65, 65]"
160,"[65, 65, 67, 67]"
161,"[67, 67, 67, 67]"
162,"[69, 69, 67, 65]"
163,"[67, 67, 69, 69]"
164,"[67, 69, 67, 65]"
165,"[69, 65, 65, 67]"
166,"[69, 65, 65, 67]"
167,"[67, 69, 65, 65]"
168,"[65, 69, 67, 65]"
169,"[67, 65, 69, 67]"
170,"[69, 67, 67, 69]"
171,"[67, 65, 65, 65]"
172,"[69, 72, 71, 69, 67]"
173,"[72, 71, 69, 71]"
174,"[72, 71, 72, 69]"
175,"[71, 69, 67, 65]"
176,"[72, 71, 69, 67]"
177,"[72, 71, 69, 72]"
178,"[71, 69, 71, 71]"
179,"[69, 69, 67, 67]"
180,"[71, 67, 69, 67]"
181,"[71, 69, 67, 71]"
182,"[71, 65, 65, 65]"
183,"[69, 65, 71, 67]"
184,"[71, 69, 65, 69]"
185,"[69, 65, 71, 65]"
186,"[72, 71, 69, 67]"
187,"[65, 65, 71, 65]"
188,"[65, 69, 67, 69]"
189,"[65, 65, 72, 72]"
190,"[65, 65, 67, 71]"
191,"[65, 65, 65, 72]"
192,"[72, 71, 69, 65]"
193,"[72, 72, 72, 72]"
194,"[72, 72, 71, 69]"
195,"[72, 71, 71, 71]"
196,"[71, 69, 72, 71]"
197,"[72, 71, 71, 72]"
198,"[71, 71, 72, 72]"
199,"[71, 69, 67, 72]"
200,"[72, 69, 72, 72]"
201,"[71, 71, 72, 69, 67]"
202,"[67, 67, 69, 69]"
203,"[69, 71, 72, 71]"
204,"[71, 69, 72, 72]"
205,"[69, 72, 71, 72]"
206,"[69, 71, 72, 71]"
207,"[67, 67, 69, 71]"
208,"[69, 69, 67, 67]"
209,"[67, 67, 69, 67]"
210,"[71, 71, 69, 69]"
211,"[69, 71, 69, 72]"
212,"[71, 69, 67, 69]"
213,"[69, 69, 71, 67]"
214,"[69, 67, 67, 67]"
215,"[69, 67, 69, 71]"
216,"[67, 69, 67, 69]"
217,"[69, 67, 69, 69]"
218,"[69, 67, 67, 67]"
219,"[69, 69, 69, 67]"
220,"[67, 69, 69, 69]"
221,"[67, 65, 67, 65]"
222,"[67, 65, 67, 67]"
223,"[67, 65, 65, 65]"
224,"[65, 65, 67, 67]"
225,"[69, 67, 67, 67, 67]"
226,"[69, 69, 67, 65]"
227,"[67, 67, 69, 69]"
228,"[69, 67, 69, 65]"
229,"[69, 65, 65, 67]"
230,"[69, 65, 65, 67]"
231,"[67, 67, 65, 65]"
232,"[65, 69, 65, 65]"
233,"[71, 69, 65, 69]"
234,"[69, 69, 67, 69]"
235,"[67, 65, 65, 65]"
236,"[72, 71, 69, 67]"
237,"[72, 71, 69, 67]"
238,"[72, 71, 72, 67]"
239,"[72, 67, 67, 67]"
240,"[72, 71, 69, 67]"
241,"[72, 69, 71, 72]"
242,"[67, 69, 71, 71]"
243,"[69, 69, 69, 67]"
244,"[69, 72, 71, 67]"
245,"[69, 67, 67, 69]"
246,"[69, 65, 65, 65]"
247,"[69, 65, 65, 67, 71]"
248,"[71, 71, 69, 67, 65]"
249,"[72, 65, 72, 65]"
250,"[72, 71, 69, 67]"
251,"[65, 65, 67, 65]"
252,"[65, 67, 65, 69]"
253,"[65, 65, 72, 72]"
254,"[65, 71, 72, 72]"
255,"[65, 65, 65, 71]"
256,"[72, 71, 69, 65]"
257,"[69, 67, 71, 72]"
258,"[72, 72, 71, 72]"
259,"[72, 71, 71, 71]"
260,"[72, 71, 72, 71]"
261,"[72, 71, 71, 72]"
262,"[71, 71, 69, 72]"
263,"[72, 71, 69, 69]"
264,"[72, 69, 71, 67]"
265,"[71, 67, 69]"
266,"[72, 71, 69, 69]"
267,"[69, 71, 69, 72]"
268,"[69, 69, 71, 67]"
269,"[72, 71, 72, 69]"
270,"[72, 71, 69, 71]"
271,"[72, 71, 69, 67]"
272,"[69, 69, 67, 67]"
273,"[71, 69, 71, 69, 67]"
274,"[72, 72, 67, 67]"
275,"[69, 67, 69, 71]"
276,"[71, 69, 72, 65]"
277,"[69, 69, 67, 67]"
278,"[69, 67, 67, 69]"
279,"[69, 67, 69, 67]"
280,"[69, 69, 67, 69]"
281,"[69, 67, 71, 69]"
282,"[69, 67, 67, 67, 67]"
283,"[69, 69, 69, 67]"
284,"[69, 69, 69, 69]"
285,"[69, 65, 69, 65]"
286,"[67, 67, 65, 67]"
287,"[67, 65, 65, 65]"
288,"[65, 65, 67, 67]"
289,"[67, 67, 67, 67]"
290,"[69, 69, 67, 65]"
291,"[69, 69, 71, 67]"
292,"[69, 67, 65, 67]"
293,"[67, 65, 65, 67]"
294,"[69, 67, 65, 71]"
295,"[67, 67, 65, 65]"
296,"[65, 67, 65, 65]"
297,"[67, 65, 67, 69]"
298,"[67, 67, 67, 69]"
299,"[67, 65, 65, 65]"
300,"[72, 71, 69, 67]"
301,"[72, 71, 69, 67]"
302,"[72, 71, 72, 69]"
303,"[72, 67, 67, 67]"
304,"[72, 71, 69, 67]"
305,"[72, 69, 67, 72]"
306,"[69, 67, 65, 71]"
307,"[69, 69, 69, 67]"
308,"[69, 71, 69, 71]"
309,"[71, 69, 67, 69]"
310,"[72, 65, 65, 65]"
311,"[69, 65, 67, 67]"
312,"[72, 71, 72, 65]"
313,"[72, 65, 71, 65]"
314,"[72, 71, 69, 67]"
315,"[65, 65, 72, 65]"
316,"[65, 71, 65, 67]"
317,"[65, 65, 72, 72]"
318,"[65, 72, 72, 72]"
319,"[65, 65, 65, 72]"
320,"[72, 71, 69, 65]"
